,USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END,airport
19545,724450,3945,COLUMBIA REGIONAL AIRPORT,US,MO,KCOU,38.817,-92.21799999999999,272.2,19730101,20181019,True
19553,724457,3938,WAYNESVILLE REGIONAL AIRPORT AT FORNEY FIELD,US,MO,KTBN,37.75,-92.15,353.3,19630320,20181019,True
19559,724460,3947,KANSAS CITY INTERNATIONAL AIRPORT,US,MO,KMCI,39.297,-94.73100000000001,306.3,19730101,20181019,True
19592,724510,13985,DODGE CITY REGIONAL AIRPORT,US,KS,KDDC,37.769,-99.96799999999999,787.0,19430419,20181019,True
19599,724518,3968,HAYS REGIONAL AIRPORT,US,KS,KHYS,38.85,-99.26700000000001,609.0,20060101,20181019,True
19607,724555,3936,MANHATTAN REGIONAL AIRPORT,US,KS,KMHK,39.135,-96.679,321.9,20060101,20181019,True
19622,724620,23061,SAN LUIS VALLEY REGIONAL AIRPORT,US,CO,KALS,37.439,-105.861,2296.1,19730101,20181019,True
19626,724627,3011,TELLURIDE REGIONAL AIRPORT,US,CO,KTEX,37.95,-107.9,2770.9,20060101,20181020,True
19651,724675,23063,EAGLE CO REGIONAL AIRPORT,US,CO,KEGE,39.65,-106.917,1980.3,19730101,20181019,True
19705,724760,23066,GRAND JUNCTION REGIONAL AIRPORT,US,CO,KGJT,39.134,-108.54,1480.7,19730101,20181019,True
19706,724765,93013,MONTROSE REGIONAL AIRPORT,US,CO,KMTJ,38.506,-107.899,1743.5,20060101,20181019,True
19757,724880,23185,RENO/TAHOE INTERNATIONAL AIRPORT,US,NV,KRNO,39.484,-119.771,1344.2,19430105,20181019,True
19781,724940,23234,SAN FRANCISCO INTERNATIONAL AIRPORT,US,CA,KSFO,37.62,-122.365,2.4,19730101,20181019,True
19801,724975,93809,CAIRO REGIONAL AIRPORT,US,IL,KCIR,37.064,-89.219,97.8,20060101,20181019,True
19835,725038,14714,STEWART INTERNATIONAL AIRPORT,US,NY,KSWF,41.5,-74.1,149.7,19420802,20181019,True
19889,725080,14740,BRADLEY INTERNATIONAL AIRPORT,US,CT,KBDL,41.938,-72.682,53.3,19410912,20181019,True
19901,725090,14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,MA,KBOS,42.361000000000004,-71.01,3.7,19431121,20181019,True
19909,725100,94746,WORCESTER REGIONAL AIRPORT,US,MA,KORH,42.271,-71.873,304.8,20090101,20181019,True
19951,725140,14778,WILLIAMSPORT REGIONAL AIRPORT,US,PA,KIPT,41.243,-76.922,158.5,19730101,20181020,True
19959,725155,94761,ITHACA TOMPKINS REGIONAL AIRPORT,US,NY,KITH,42.483000000000004,-76.467,335.0,20060101,20181019,True
19968,725170,14737,LEHIGH VALLEY INTERNATIONAL AIRPORT,US,PA,KABE,40.65,-75.44800000000001,118.9,19730101,20181019,True
